luminosity,lum_err,obs,corr,corr_err,,
40.5,0.05,-1.84,-1.66,0.04,,
40.6,0.05,-1.78,-1.7,0.04,,
40.7,0.05,-1.87,-1.81,0.04,,
40.8,0.05,-2.01,-1.93,0.05,,
40.9,0.05,-2.2,-1.96,0.07,,
41,0.05,-2.21,-2.03,0.07,,
41.1,0.05,-2.41,-2.12,0.09,,
41.2,0.05,-2.39,-2.27,0.08,,
41.3,0.05,-2.43,-2.29,0.09,,
41.4,0.05,-2.55,-2.42,0.1,,
41.5,0.05,-2.55,-2.46,0.11,,
41.6,0.05,-2.71,-2.57,0.13,,
41.7,0.05,-2.94,-2.69,0.19,,
41.8,0.05,-2.9,-2.73,0.17,,
41.9,0.05,-3.04,-2.88,0.2,,
42,0.05,-3.34,-3.03,0.35,,
42.2,0.1,-3.45,-3.56,0.51,,
42.5,0.15,-3.64,-3.71,0.71,,